,datano,꽃 이름,꽃 영문이름,꽃말,사용,생장
100,266,코스모스,Common cosmos,소녀의 순정,"드물게는 꽃꽂이용으로 쓰이지만 거의 대부분 길가나 공원, 정원의 화단, 부지의 경계부 등 노지화단용으로 쓰인다. 흰색부터 빨간색, 노란색 등 꽃 색이 다양해 식재할 때는 주변 환경이나 자연색을 고려하여 디자인적으로 배치할 수 있다.",코스모스는 재배가 쉽고 생육이 강건하며 척박지에서도 잘 자라기 때문에 누구든지 쉽게 재배할 수 있다. 화단용으로 키워보고 싶으면 종묘상에서 씨앗을 구입하여 뿌리고 싹이 나올때까지 표면이 마르지 않도록 물 잘주고 새잎이 5∼6개정도 나왔을 때 화단에 내다 심으면 된다. 코스모스는 습기에 약한 편이므로 심을때 배수가 잘되는 곳에 심는다.
101,265,주목,Japanese yew,"명예, 고상함",주목은 우리나라 정원에서 소나무 다음으로 많이 쓴다. 특히 자라는 속도가 매우 더디기 때문에 정원의 전면부에 많이 심기며 관공서에서는 기념식수용으로도 곧잘 이용된다. 주목의 가치 중 택솔은 주목의 껍질에 많이 들어있는 성분으로 항암물질로 잘 알려져 있다. ,"추위와 더위에 강한 편으로 우리나라 전역에서 기를 수 있으나 공해에 약해 길 가 조경수로는 곤란하다. 주목은 완전히 성목이 되면 키가 17m정도까지 자란다. 꽃은 4월에 피며 꽃이 지고 난 뒤 8-9월에 빨간 열매가 익는다. 잎이나 전체적인 생김새도 좋지만 이 열매도 관상가치가 훌륭하다. 암그루와 숫그루가 서로 다른 자웅이주로, 종자부터 개화에 이르기까지 15년이나 걸리는 나무이기 때문에, 종자 파종은 어린 묘 생산을 위한 경우 외는 잘 하지 않으며, 주로 삽목번식으로 증식하고 있다. "
102,264,조,Foxtail millet ,평등,이삭이 충분히 결실되었을 때 대를 잘라 쓰면 꽃꽂이용으로 훌륭하다. 특히 요즘 이삭색이 다양한 품종들이 나와 장식용으로 많이 쓰인다. 산간 시골길을 가다보면 길가 밭에 여기저기 심겨있다. ,밭에서 재배하는 일년생작물이다. 우리 토종을 지키고 잡곡을 생산하는 지역에서는 흔히 재배한다. 꽃꽂이용으로 전문 재배하여 판매하는 곳도 있는 것으로 생각된다. 가정에서도 화분에 또는 정원에 울타리 같은 곳에 심어볼수 있다. 
103,263,금강초롱,Gumkang bluebell,"각시와 신랑, 청사초롱",꽃모양이나 꽃이 달린 형태가 옛날 양반이 밤길을 걸을때 앞길을 비췄던 초롱불과 닮아 우리나라 사람들 정서에 잘 부합한다. 분화용으로 쓰긴 하지만 기르기가 까다로워 널리 확산되지 못하고 있다. 화단용으로도 좋을 것 같은데 평지에서는 여름에 너무 더워 정상적인 생육이 곤란하다.,씨앗으로 대량생산이 가능하다. 4월에 파종하여 두 달 정도 육묘하면 정식할 수 있는 묘가 된다. 육묘시 온도 20℃를 유지해야 한다. 거름기가 충분한 용토를 담고 분에 심어 물관리를 잘하면 된다. 뿌리가 직근성이라 이식을 싫어하므로 분갈이때는 뿌리가 다치지 않도록 세심한 주의가 필요하다. 꽃대가 나오면서 잎의 갈변이 심해진다.
104,262,아네모네,"Lily-of-the-field, Windflower","고독, 정조, 성실",아네모네는 대부분 종이 키가 작은 편으로 화단이나 분화용으로 쓰인다. 최근에는 촉성용 절화재배기술이 발달되면서 10월부터 이듬해 4월까지 꽃꽂이용으로도 꽃이 생산되고 있다. 오래전에 개발되어 종자로 번식하는 F1품종으로 '모나리자(Mona Lisa)'와 '클레오파트라(Cleopatra)' 같은 품종은 현재에도 화단이나 절화용으로 많이 쓰이고 있다. ,종자번식 품종의 파종은 3월 하순에서 4월상순 사이의 평균기온이 12∼15℃일 때가 적합하다. 용토는 원예용 상토에 부엽을 1/5정도 섞어쓰며 복토는 얕게 종자가 보이지 않을 정도로만 한다. 흙은 배수가 잘되고 덩이뿌리가 잘 자랄수 있는 사질양토가 좋다. 종에 따라 추위에 견디는 힘이 다르다. 코로나리아종은 -3℃까지는 견딜수 있으나 그 이하로 내려가면 동사되기 시작한다. 이 때문에 노지재배는 중북부에서는 곤란하고 남부지역에서만 가능하다. 
105,261,해왕환선인장,null,순결,분화용이나 온실 또는 실내 정원용으로 쓰인다. 전시회나 박람회 때 보면 다양한 형태로 전시되기도 한다.,햇볕을 많이 필요로 한다. 햇볕이 부족하면 끝이 웃자라며 연약해진다. 거름기도 많은 것을 좋아하며 모래와 퇴비를 섞으면 좋다. 너무 습하면 대목인 삼각주가 썩으므로 다소 건조한 듯 관리하는 것이 요령이다.
106,260,금호선인장,Golden barrel cactus,"정열, 열정",선인장은 대부분 분화형태로 이용된다. 다육식물을 포함하여 종류가 무척 많아 상품도 다양하며 요즘은 모둠 형태의 신상품들도 많이 나오고 있다. 금호선인장은 사람 손이 잘 닿지않는 실내정원용으로도 많이 이용되며 박람회나 전시회때 빠지지 않고 주연급으로 등장한다.,선인장 하면 사막을 연상하여 고온 건조한 모래땅을 생각하지만 건조에도 견딜수 있다는 것이지 물을 싫어한다는 것은 아니다. 따라서 적당한 물관리와 비료시용이 되면 생육이 훨씬 좋아진다. 
107,259,살비아,"Salvia, Scarlet sage","불타는 마음, 정열",고온다습에 강하여 여름화단의 왕으로 불린다. 특히 우리나라처럼 여름에 덥고 습기가 많은 곳에서 잘 어울리는 초화류다. 초창기엔 주로 화단용으로 쓰였으나 최근에는 키가 작고 꽃도 매우 화려한 것들이 많아 분화용으로도 상당량 쓰이고 있다.,"누구나 손쉽게 재배할 수 있다. 종묘상에서 씨앗을 사다 파종상자에 뿌리고 새잎이 2-3매 나오면 작은 포트에 옮겨준다. 본 잎이 6매 내외까지 자라면 화단에 옮겨준다. 씨앗은 광 발아성이므로 씨앗 뿌린 후 표면을 신문지 같은 걸로 덮어 습기유지만 해 준다. 씨뿌리기는 2월부터 6월까지 아무 때나 할 수 있는데, 꽃은 씨앗을 뿌린지 보통 4개월 정도 지나야 피므로 이를 감안해 꽃을 보고 싶은 시기(5월에서 10월 사이)로부터 4개월 전 뿌리면 된다. 꽃가게에서 모종을 사다 심어도 된다."
108,258,산사나무,"Red hawthorn, Large Chinese hawthorn","희망, 유일한 사랑, 관용",정원이나 울타리용 등 관상용으로 흔히 심는다. 치밀하게 재배하는 분재용으로도 종종 쓰인다. 예로부터 열매를 약용으로 쓰기 위해 재배해오고 있다. 꽃은 5월에 흰색으로 피며 열매는 9-10월에 빨간색 바탕에 흰 반점이 든채 익는다.,가정에서 기를때는 묘목을 구해 봄 또는 가을에 생장이 멎은 뒤 심는다. 생장속도는 더디지만 이식에 강한 편이다. 햇볕이 충분하고 배수가 잘되는 곳이면 어디든 잘 자란다. 
109,257,보리수나무,Autumn elaeagnus,"결혼, 부부의 사랑","추위나 공해에 강해 전국의 정원, 공원의 관상수로 좋다. 뿌리에 질소를 고정하는 공생균이 있어서 어느정도 척박한 곳에서도 잘 자라며 건조에도 강해 이용범위가 넓다. 특히 키가 3-4m 내외로 크지 않으며 내부가 치밀하게 자라는 편으로 생울타리용으로 심어도 좋은 나무이다. ","번식은 씨앗으로 하거나 영양체로 한다. 가을에 열매의 과육을 벗겨내고 바로 뿌리거나 땅에 묻어두었다가 이듬해 봄에 뿌린다. 영양체 번식으로 3-4월, 6-7월에 당년에 나온 신초를 잘라 삽목하면 쉽게 새뿌리가 난다. 봄에 원포기 옆에서 나온 새로운 포기를 떼어 심어도 잘 자란다. "
110,256,버즘나무(플라타너스),Oriental planetree,천재,버즘나무는 폭도 넓지만 키가 커서 도로변처럼 넓은 곳에 조경수로 적합하다. 특히 플라타너스는 오존 흡수능력이 은행나무보다 약 6~7배 정도 뛰어난 것으로 보고된 바 있으며 아황산가스 흡수능력도 다른 나무에 비해 뛰어나다.,봄에 열매를 따 충실한 것들을 골라서 망에 넣어 흐르는 물에 10-15일정도 담가두었다 뿌리면 싹이 잘 튼다. 봄에 나오는 어린 가지를 삽목해도 새뿌리가 잘 내리며 가을에 가지를 잘라 삽목해도 된다.
111,255,배롱나무,"Indian lilac, Crape myrtle",헤어진 벗에게 보내는 마음,"꽃이 오래가고 줄기의 무늬가 아름다워 전통적으로 남부지역을 중심으로 주택 공원, 자연학습장, 생태공원 등지에서 조경수로 쓰인다. 추위에 약해 충청 이북에서는 상업적인 대량재배는 어렵지만 경기, 서울에서도 겨울에 월동이 되는 곳에서는 관상수로 충분히 이용할 수 있다.",씨앗과 삽목번식 모두 잘된다. 씨앗은 가을에 잘 여문 것을 받아 땅에 묻어두었다가 봄에 뿌린다. 삽목은 초여름에 나온 신초를 잘라 삽목상에 꽂아 새뿌리가 내릴때까지 물관리를 잘한다. 배롱나무는 물과 비료를 좋아하기 때문에 정원에 심을 경우 마르지 않도록 하고 비료도 한달에 한번 정도 주는 것이 좋다. 화분에 심어 실내에 분화용으로 기를때 특히 물관리가 중요하다.
112,254,미모사,"Humble plant, Sensitive plant","예민, 섬세, 민감",식물도 살아있음을 알려주는 교육교재용으로 좋은 식물이다. 잎도 질서정연하게 아름답고 꽃도 연분홍색으로 공처럼 예쁘게 피어 분화용으로 손색이 없다. 추위에 약해 주로 실내식물로 쓴다. 가정에서 자녀 교육용으로 한 두포기는 있어야 할 식물이다.,주로 일년생으로 씨앗으로 번식한다. 3-4월 씨앗을 뿌리면 여름에 꽃을 볼수 있다. 씨앗은 가을에 따서 잘 여문 것들을 골라 냉장고에 저장해 둔다. 여러해살이로 기르려면 온실에서 햇볕이 잘들게 하고 겨울에도 15℃ 이상 유지해줘야 한다. 실내에 둘때는 햇볕을 좋아하므로 창가나 베란다처럼 볕이 잘 드는 곳에 둔다. 
113,253,맨드라미,Common cockscomb,"사진, 헛된 장식, 뜨거운 사랑",초가을 화단용으로 맨드라미처럼 꽃이 독특하면서 붉은 것도 드물다. 특히 개화기간이 길어 꽃을 오래 즐길 수 있다. 꽃이 다육질로 수명이 길고 꽃색도 여러가지라 분화나 꽃꽂이용으로도 흔히 쓰인다.,"열대가 고향이라 우리나라의 더운 여름에도 잘 자란다. 4월중순~5월상순에 화단에 직접 씨앗을 뿌리거나 포트묘를 구해서 화단에 심는다. 화단에 직접 뿌린 경우 어느정도 자라면 얽혀있는 부분은 솎아 대를 튼튼히 만들고 최종적으로는 포기사이가 50㎝는 되도록 조절해 준다. 텃밭주변이나 화단, 정원 어디든 앞부분에 군락을 이뤄 심으면 늦여름부터 가을내내 꽃을 즐길 수 있다."
114,252,모과,Chinese quince,유혹,"모과는 보통 가을에 익는 과실의 향기가 좋아 이용하지만 봄에 피는 연한 홍색의 꽃도 아름답고 나무껍질(수피)에 흰무늬가 들어있어 가정의 정원수나 아파트 단지 조경수 등 관상용으로 흔히 쓰인다. 과실은 9-10월에 노랗게 익는데, 잘 익은 뒤 따서 자동차 내부처럼 공기가 탁하기 쉬운 것에 두면 차내 은은한 향기를 장기간 동안 발산하여 냄새를 제거해 준다. 요즘 정원수로써 인기를 얻고 있지만 향나무와 같이 있으면 병 때문에 잎이 편할 날이 없다. 나무 조직이 치밀하여 초기에 그대로 두면 직립형으로 자라 키다리형이 되므로 어렸을 때 주지나 부주지를 벌려 수형을 잡아준다. 노랗게 잘 익은 모과를 자동차 안이나 거실에 두면 은은한 향기가 장기간 지속된다. 요즘 분재용으로 많이 이용된다.",봄에 나무시장에서 묘목을 사다 심는다. 어디서든 자랄 수 있지만 햇볕을 충분히 받을수 있어야 생육이 좋다. 초기에 가지의 전정 및 유인을 잘해주어야 수형이 좋아진다. 주변에 향나무가 있으면 잎에 붉은별무늬병이 걸리는데 심한 경우 살균제를 살포해준다.
115,251,마가목,Mountain-ash,"조심, 신중","낙엽성이면서 키가 크지 않아 화단이나 정원, 공원의 조경용으로 좋은 품목이다. 추위나 음지에는 강하지만 더위와 공해에 약해 차가 많이 다니는 도로변 조경수로는 곤란하다. 주택이나 아파트 정원, 생태공원, 자연학습장 같은 곳에 심으면 4계절 관상용으로 잘 어울린다. 열매는 차나 술을 만들며 나무의 재질이 치밀하여 옛날에 지팡이, 망치자루 등을 만드는 재료로 쓰였다고 한다.",잘 여문 씨앗을 받아 2년정도 물이 잘 빠지는 곳에 묻어(노천매장) 두었다 봄에 뿌리거나 과육을 벗겨내고 저온습윤한 곳에 저장해 두었다 뿌린다. 삽목은 5월부터 7월 사이 습도가 높을 때 한다. 이식은 봄이나 가을에 하는데 너무 큰 것은 곤란하다. 옮겨심을 그루는 미리 묵은 뿌리를 잘라주어야 심은 뒤 새 뿌리가 잘 내린다.
116,250,꽈리,Ground cherry,거짓,꽈리는 관상용인 것과 채소용인 것이 있다. 관상용으로 흔히 심는데 완전히 볕이 잘 드는 곳이나 약간 그늘진 곳의 물 빠짐 좋은 곳이면 잘 자란다. 화단에서 가을에 아름다운 열매를 한동안 즐길 수 있다. 빨간 열매를 따서 말려 건조화 또는 꽃꽂이 소재로도 쓴다.,자라는 습성이 한해살이인 것과 여러해살이인 것이 있다. 여러해살이는 한번 심어두면 특별한 관리 없이도 매년 잘 나온다. 한해살이인 것들은 잘 여문 씨앗을 받아 뿌리면 쉽게 발아한다.
117,249,백양꽃,null,"초가을의 그리움, 진한 미소","추위에 약해 주로 남부지역에서 자생한다. 백양꽃이란 이름은 전남 백양사에서 처음 발견되어 붙여진 이름이다. 완도, 고흥, 거제 등 남쪽의 산에서 반그늘진 곳이면 흔히 볼수 있다. 남부지역의 화단이나 정원용으로 훌륭한 소재다.",백양꽃은 희귀식물 및 특산식물로 지정되어 있어 법으로 보호를 받고 있다. 재배되는 알뿌리를 구해 심으면 몰라도 산에서 채취하거나 하면 절대 안된다. 전문연구기관이나 식물원 같은 곳에서 합법적으로 대량생산 체계를 확립한 다음 애호가들에게 시급히 공급해줘야 할 품목 중의 하나이다.
118,248,둥근잎꿩의비름,Stonecrop,"토착, 친숙",자생식물 중 둥근잎꿩의비름 만큼 용도가 많은 것도 드물다. 워낙 번식이 잘 되는데다 환경을 가리지 않고 어디서든 잘 자라기 때문이다. 실내정원용으로 베란다 같은 곳에 배치하면 잘 어울리며 화분으로 만들어 잎줄기를 아래로 늘어뜨리는 걸이용(hanging flower)으로도 좋다. 정원의 바위틈이나 건조한 곳에도 잘 자란다. ,"씨앗을 받아 뿌려도 싹이 잘 나온다, 큰 포기를 빨리 만들려면 삽목으로 번식하는 것이 좋다. 연중 어느 때든 새로 나온 줄기를 잘라 삽수를 모래같은 삽목상에 꽂으면 쉽게 새뿌리를 내린다. 대량으로 번식할 때는 플러그트레이 같은 것을 써서 일정한 크기의 규격묘를 생산할 수 있다."
119,247,물봉선,"Snap weed, Bush lizzie",나를 건드리지 마세요.,"물기가 좀 있고 반그늘 진 곳이면 어디든 잘 자란다. 주택의 연못가나 배수로 주변 또는 연못주변에 심으면 좋다. 꽃색이 진분홍, 노랑, 흰색의 3종류가 있다. 꽃이 귀한 한 여름이기 때문에 식물원이나 공원 등지에서 충분히 관상가치를 가진다.",일년초로 기르기 때문에 씨앗을 받아 뿌리면 된다. 가을에 씨앗을 받아 바로 뿌리면 이듬해 여름에 꽃을 풍성하게 볼 수 있다. 종자 꼬투리가 웬만큼 익었을 때 손을 대면 껍질이 툭 갈라지면서 종자들이 멀리 튀어나가 버리기 때문에 완전히 성숙하기 전에 씨앗을 받아야 한다.
120,246,국화,Chrysanthemum,"청결, 정조, 순결","국화는 꽃의 주류를 이루고 있을 만큼 널리 이용되는 식물이다. 가장 많게 쓰이는 데는 꽃꽂이며, 다음이 화단용이다. 국화, 특히 대륜(꽃이 큰 스탠다드형 국화) 계통들은 우리나라에서 일본에 많은 량을 수출하고 있다. 일본은 신사문화가 자리잡고 있어서 국화를 우리보다 훨씬 많이 쓰기 때문이다. 괜찮은 정원이라면 가을의 모습을 위해 노랗고 하얀 화단용 국화 몇 포기는 꼭 있어야 하지 않을까 싶다.",꽃꽂이용으로 쓰이는 절화는 국화를 재배하는 농가들이 온실이나 비닐하우스 시설 내에서 전문적으로 생산한다. 특히 아직도 국화는 대표적인 단일성식물(낮의 길이가 12시간보다 짧을 때 꽃눈이 분화되어 꽃이 피는 식물)이기 때문에 전조를 이용하여 꽃눈의 분화를 촉성 또는 억제시킴으로써 꽃 출하기간을 확대하고 있다. 정원에서는 초여름에 직접 삽수를 받아 삽목하고 꽃눈을 분화시켜 집에서 쓸 수도 있지만 가족들이랑 꽃 시장에 가서 꽃눈이 고르게 분화된 화분을 몇 개 사다 원하는 곳에 두고 즐기는 것이 좋다.
121,245,갈대,Reed,"신의, 믿음, 지혜, 음악",갈대는 주로 물기가 많고 햇볕이 잘 드는 곳에서 잘 자라 하천이나 냇가 같은 수변의 조경공사용으로 많이 이용된다. 개화 후 모습도 관상가치가 있지만 어느 정도 수질정화 기능도 있기 때문이다. 화본과 식물만을 모아 정원을 만들면 개성 있는 정원으로 가꿀 수 있으며 특히 가을철 관상용으로 좋은 품목이다.,꽃이 9월에 자주색으로 피었다가 자갈색으로 변한다. 늦가을에 우리가 흔히 보는 것은 꽃이 진 뒤에 종실이 갈색으로 달려 있는 것이다. 씨앗으로 번식하기도 하며 뿌리줄기를 잘라 늘려간다.
122,244,해바라기,Sunflower,"동경, 숭배","원래 씨앗으로 기름을 짜는 특용작물로 취급되어 왔으나 지금은 관상용으로도 인기가 많아 웬만한 도시의 공원이나 산책로 주변에 흔히 심겨져 있다. 꽃이 크고 아름다울 뿐만 아니라 꽃이 오래 가기 때문에 꽃꽂이용 소재로도 쓰이며 분화용으로도 이용된다. 얼마 전 함평에 대규모 재배단지가 만들어졌는데, 나비에 이어 이제 해바라기로도 본격적인 관광객 유치작전에 들어간 듯 하다.",해바라기는 원래 장일성 식물이라 낮의 길이가 상대적으로 긴 5-6월에 꽃눈이 분화되어 여름에 꽃이 피는 형이지만 요즘엔 단일성 품종들도 많이 개발되어 절화용(꽃꽂이용)으로 전문적인 재배를 하는 곳에서는 연중 생산도 가능하다. 일반 가정에서 정원용으로 기를 때는 꽃시장에서 봄에 나오는 모종을 사다 심으면 된다.
123,243,포도,"Grapevine, Grapes","박애, 환희",포도는 물론 과수용으로 재배되는 것이 대부분이다. 품종도 매우 세분화되어 조생종부터 만생종까지 매우 다양해 우리가 먹을수 있는 기간이 길어졌다. 요즘 도시녹화의 일원으로 집이나 빌딩 옥상에 퍼골라용 그늘을 만들기 위해 포도를 종종 심는다. 잎이나 줄기가 자라는 속도가 빨라 여름내내 시원한 그늘을 만들어주며 포도가 달리면 따먹기도 하니 일석이조다.,기르는 목적이 과실생산을 위한 것인지 옥상이나 정원에 그늘을 만들거나 관상을 위한 것인지에 따라 달라진다. 옥상이나 정원에서 기를 때는 가능한 빨리 그늘을 만들 수 있도록 전정이나 가지치기 작업을 해 주어야 하며 과실이 목적이 아니므로 꽃이 피거나 열매가 맺기 시작할 때 이들을 따주게 되면 잎이나 줄기의 생장이 보다 빨라진다.
124,242,뻐꾹나리,Korean toad lily,당당,"꽃도 특이하게 생겼지만 잎 모양도 좋아 정원 화단용으로 제격이다. 추위에는 비교적 강하지만 건조에는 약해서 어느 정도 습기가 유지되는 곳에서 잘자란다. 약간 그늘진 낙엽수 아래 같은 곳이 좋다. 정원석 사이에 심어 물 관리를 잘해주면 제대로 정착된다. 키를 좀 작게 하여 분화용으로 심어도 좋으며, 꽃대가 곧게 자라고 꽃 모양이 아름다워 꽃꽂이용으로도 우수하다.",씨앗을 뿌리면 빠르면 2년 후에 피지만 보통은 3년은 되어야 제대로 핀다. 가을에 씨앗을 받아 바로 뿌리면 이듬해 봄에 80% 정도 싹이 나온다. 봄에 뿌리줄기를 잘라 심으면 여름 가을동안 많이 자라 이듬해 꽃을 풍성하게 볼수 있다. 가을에 포기나누기를 해도 된다. 분화용은 화분에 3포기 정도를 심어 볼륨감이 있도록 한다. 화단에서든 화분에서든 배수가 중요하다.
125,241,칸나,Canna,"견실한 최후, 존경",가정의 화단이나 도로변에 여름철 관상용으로 참 잘 어울린다. 대부분 화단용으로 쓰이지만 최근 키가 작은 것들이 육성되어 분화용으로도 쓰이고 있다. 봄에 심으면 6월부터 서리 올 때까지 잎과 꽃을 동시에 관상할 수 있고 꽃이 크고 화려한데다 개화기간도 길어 도로변이나 공원 등지에 군락으로 심어 관상하는데 좋은 식물이다 ,"근경(뿌리줄기)에 의해 번식하는데, 근경을 가을에 캐 두었다가 봄에 심는 춘식구근으로 취급하고 있다. 알뿌리를 캐지 않고 그대로 두면 겨울동안에 영양이 소진되어 알뿌리는 점차 퇴화된다. 그래서 한번 심어서 그대로 두면 점차 세력이 약해지며 4-5년 후에 는 아예 소멸되어 버린다. "
126,240,칡,"Japanese arrowroot, Kudzu vine",사랑의 한숨,"조경용으로는 산간지 도로변 지면 피복용으로 종종 쓰인다. 칡은 뿌리를 다양하게 이용한다. 칡차, 칡술, 칡냉면 뿐만 아니라 갈근이라 하여 약용으로도 흔히 이용된다.",칡은 전형적인 덩굴성식물로 길게 자라지만 줄기의 끝 부분은 겨울에 말라죽고 주로 뿌리줄기에 의해 월동한다. 양지나 반그늘진 곳에서 잘 자란다.
127,239,참깨,Sesame,기대,참깨는 예로부터 시골에서 많이 재배했던 우리 전통작물 중의 하나이다. 최근 중국에서 들어오는 것 때문에 종종 몸살을 앓고 있긴 하지만 참깨의 고소한 맛 속에는 우리 민족의 향기가 베어있는 듯 하여 소홀히 할수가 없다. 참깨는 우리나라 사람들에겐 꼭 필요한 양념으로 절대 없어서는 안될 작물이다.,참깨나 들깨는 전형적인 한해살이풀이다. 이들은 단일식물(낮의 길이가 짧아야 꽃이 피고 열매를 맺는 식물)이라 요즘 밭에서 보면 슬슬 꽃 피우는 것을 볼수 있다. 이러한 장일성 때문에 공항주변에서 들깨농사 짓는 사람들은 활주로의 불빛 때문에 잎 생산이 어렵다는 민원을 접했던 기억이 난다.
128,238,생강,Ginger,신뢰,생강은 잎 모양이 특이해 남부지역에서 화단용으로 심기도 하지만 원예품종으로 개발된 것은 거의 없고 주로 향미나 약용으로 쓰이는 것으로 전북 완주에 가면 '봉동재래'라는 품종이 많이 재배된다. 생강뿌리로 만든 '이강주'라는 술은 그 지역 특산품으로 유명하다. ,생강은 여러해살이풀로 자라는데 주로 땅 속에 있는 근경(뿌리줄기)에 의해 번식한다. 근경을 심어두면 바로 잎과 줄기가 나오며 한번 심어두면 매년 새로 나온다. 처음엔 잎이 나오지만 나중엔 줄기만 자라 줄기 끝에서 꽃들이 모여 핀다.
129,237,좀작살나무,Beauty berry,총명,"영명처럼 열매가 아름다운 식물이다. 꽃이 8월에 피는데 연한 자주색으로 잎겨드랑이에 달린다. 열매는 비취빛 띠는 자주색으로 매우 아름답다. 공해에 어느 정도 견디지만 도로변처럼 공해가 심한 곳에서는 살기 어려우며 가정의 정원, 공원이나 학습장 같은 곳에 잘 자란다. 건조하면서 물이 잘 빠지는 곳이 좋으며 추위에는 강하지만 음지에는 약하므로 지나치게 그늘 진 곳에는 심지 않는다.",가을에 씨앗을 받아 과육을 벗겨내고 땅속에 묻어 두었다가 봄에 뿌려서 묘로 키운다. 삽목은 이른 봄에 묵은 가지나 6월 하순경 꽃이 피기 전에 새로 나온 가지를 10-15cm 정도 길이로 잘라 꽂는다. 봄에 꽃시장에 가면 일년된 실생묘(씨앗에서 나온 묘)를 싼값에 구할 수 있으므로 이것을 사다 심어도 좋다. 
130,236,용담,Korean gentian ,슬퍼하고 있을 때의 당신이 좋다.,"용담은 키가 꽤 큰 편으로 한 두 포기 있으면 쉽게 쓰러진다. 넘어져서 줄기가 바닥에 구부러지면서도 꽃을 잘 피우기 때문에 그런대로 봐줄만 하다. 하지만 어느 정도 군락을 이루고 있어야 쓰러지지도 않을뿐더러 제대로 곧게 핀 꽃들을 무리지어 볼 수 있어 훨씬 아름답다. 용담은 절화용으로도 우수하다. 이웃 일본에서는 한때 전체 절화류 중 세 번째로 많이 쓸만큼 인기있는 품목이다. 우리가 생산한 용담꽃이 종종 일본에 수출되기도 하는데, 한국의 해발 500-600m에서 재배한 꽃이 꽃색이 매우 선명하여 일본산에 비해 품질이 월등히 높기 때문이다. 왜성으로 개량된 원예품종이나 억제제를 이용하여 분화용으로 쓰기도 한다.","용담은 종자번식, 삽목이나 포기나누기 등 번식방법이 다양하다. 씨앗은 휴면성이 있어 저온을 겪게 하거나 지베렐린 용액에 담갔다가 뿌리는데 워낙 씨앗이 작아 주의가 필요하다. 발아후 묘를 키울 때 마르지 않도록 한다. 삽목은 5월 상중순에 키가 약 20cm정도 자랐을 때 가지 끝에서 7-8cm길이로 잘라 모래 삽목상에 꽂으면 40일쯤 지나 뿌리내린다. 포기나누기는 봄에 신초가 나오기 직전 눈 3개정도를 한 포기로 하여 나눠준다."
131,235,옥잠화,Fragrant plantain lily,"침착, 조용",잎 모양이 넓고 시원해 잎을 잘라 꽃꽂이용 소재로도 이용하지만 화단 어디서든 잘 어울리기 때문에 화단용으로 많이 이용된다. 국내에 우리 자생종을 포함하여 도입된 품종들까지 약 100여 종이 화단용으로 널리 쓰이고 있다.,옥잠화는 종자로도 번식 되지만 씨앗이 달린 다음 바로 추위가 와서 종자가 충실하게 여물지 못해 발아율이 많이 떨어진다. 별도로 종자를 받을 모본들은 비닐하우스 같은 곳에서 기르기도 한다. 씨앗을 뿌리면 꽃이 피기까지 2-3년은 걸린다. 보통은 포기나누기로 번식하는데 이른 봄에 맹아 2-3개씩을 한 포기로 하여 나눠 심으면 이듬해 약 10배 정도로 불어난다.
132,234,오리나무,Japanese alder   ,장엄,오리나무는 추위에도 강하지만 온대지역 어디서든 잘 자란다. 꽃이나 잎 또는 수형이 그리 아름답지 않아 조경수로 잘 쓰이지 않는다. 산행하다 흔히 볼수 있다. 헛개나무와 함께 숙취효과가 좋으며 간을 좋게 한다고 기록되어 있다.,조경이나 관상용으로 흔히 이용되지 않아 전문적으로 재배하는 곳을 찾기 어렵다. 콩과식물은 아니지만 뿌리혹박테리아가 있어 공기중 질소를 고정하여 흙에 질소를 많게 하므로 재배는 어렵지 않을 것으로 생각된다.
133,233,연꽃,East indian lotus,"배신, 청결, 신성, 당신모습이 아름다운 것만큼 마음도 아름답다.","꽃은 물론 잎 모양도 좋아 관상용으로 가장 많이 이용된다. 흐르는 물보다는 정체되어 있는 연못이나 저수지, 강가에 주로 핀다. 수질정화 능력도 상당한 것으로 알려져 있다. 뿌리(연근)는 채소로 잘 알려져 있다. 꽃이 7∼8월에 빨강, 분홍, 흰색 등으로 피며 매우 화려하다. 잎과 꽃을 모두 관상용으로 이용할 수 있어 현재 이용되는 대표적인 수생식물 중 하나로 볼 수 있다. 연꽃축제를 하는 곳으로 양수리세미원, 시흥관곡지연축제, 무안백연제, 김제홍연축제 등이 생각난다.","가정이나 공원, 자연학습장 등지에서 종종 기른다. 작은 연못을 만들어 용기에 담아 물속에 넣어두기도 하고 큰 용기에 담아 정원에서 즐기기도 한다. 연 용기재배의 3박자는 깊은 토심(50cm), 25℃ 내외의 온도유지, 뿌리심을 때 구멍난부분이 위로하고 숨구멍이 막히지 않도록 하는 것이다."
134,232,색동호박,null,나의 마음은 아름답다.,봄에 심어 여름부터 열매가 달리는 덩굴성의 일년초라 이용성이 다양하다. 여름에 시원한 그늘을 만드는 터널로 좋으며 학교나 관광 체험마을에서 관상용으로 흔히 이용된다. 무늬가 다양하여 전시회 같은 곳에서도 흔히 볼 수 있다.,봄에 묘를 구해서 원하는 곳에 심으면 된다. 호박은 거름기만 있으면 어디서든 잘 자라기 때문에 특별히 재배에 어려움은 없다. 묘를 심은 뒤 초기 활착될 때까지 물 관리를 잘해주면 된다.
